20190102,1
20190103,2
20190104,3
20190107,4
20190108,5
20190109,6
20190110,7
20190111,8
20190114,9
20190115,10
20190102,11
20190103,12
20190104,13
20190107,14
20190108,15
20190109,16
20190110,17
20190111,18
20190114,19
20190115,20
20190116,21
20190117,22
20190118,23
20190121,24
20190122,25
20190123,26
20190124,27
20190125,28
20190128,29
20190129,30
20190130,31
20190131,32
20190201,33
20190211,34
20190212,35
20190213,36
20190214,37
20190215,38
20190218,39
20190219,40
20190220,41
20190221,42
20190222,43
20190225,44
20190226,45
20190227,46
20190228,47
20190301,48
20190304,49
20190305,50
20190306,51
20190307,52
20190308,53
20190311,54
20190312,55
20190313,56
20190314,57
20190315,58
20190314,59
20190315,60
20190318,61
20190319,62
20190320,63
20190321,64
20190322,65
20190325,66
20190326,67
20190327,68
20190328,69
20190329,70
